datetime,open,high,low,close,volume
2015-07-01 09:15:00,18275.6,18327.6,18261.9,18304.1,0
2015-07-01 09:30:00,18304.1,18354.9,18298.95,18328.0,0
2015-07-01 09:45:00,18328.0,18354.4,18310.05,18352.9,0
2015-07-01 10:00:00,18352.9,18405.65,18351.3,18393.05,0
2015-07-01 10:15:00,18393.05,18406.55,18371.7,18406.4,0
2015-07-01 10:30:00,18406.4,18426.45,18403.15,18417.0,0
2015-07-01 10:45:00,18417.0,18418.15,18375.1,18416.15,0
2015-07-01 11:00:00,18416.15,18423.75,18408.5,18418.75,0
2015-07-01 11:15:00,18418.75,18426.1,18405.25,18407.0,0
2015-07-01 11:30:00,18407.0,18416.3,18363.2,18371.4,0
2015-07-01 11:45:00,18371.05,18381.2,18351.4,18374.85,0
2015-07-01 12:00:00,18374.85,18418.3,18367.15,18414.95,0
2015-07-01 12:15:00,18414.95,18450.3,18401.3,18433.35,0
2015-07-01 12:30:00,18433.35,18457.2,18415.3,18447.35,0
2015-07-01 12:45:00,18447.35,18495.6,18445.8,18493.95,0
2015-07-01 13:00:00,18493.95,18497.4,18463.35,18489.45,0
2015-07-01 13:15:00,18476.45,18503.9,18472.2,18494.45,0
2015-07-01 13:30:00,18497.0,18498.5,18463.9,18474.75,0
2015-07-01 13:45:00,18472.8,18481.9,18459.35,18475.05,0
2015-07-01 14:00:00,18471.95,18518.35,18471.95,18497.3,0
2015-07-01 14:15:00,18494.05,18532.8,18482.85,18530.8,0
2015-07-01 14:30:00,18530.8,18606.6,18529.25,18581.65,0
2015-07-01 14:45:00,18578.7,18629.15,18575.85,18597.1,0
2015-07-01 15:00:00,18596.65,18601.55,18562.85,18565.6,0
2015-07-01 15:15:00,18565.6,18606.9,18557.3,18606.7,0
2015-07-02 09:15:00,18605.1,18607.25,18513.3,18529.2,0
2015-07-02 09:30:00,18529.2,18575.2,18521.8,18551.15,0
2015-07-02 09:45:00,18551.15,18606.55,18551.15,18585.15,0
2015-07-02 10:00:00,18585.15,18587.4,18546.2,18556.5,0
2015-07-02 10:15:00,18557.9,18635.2,18557.55,18631.35,0
2015-07-02 10:30:00,18631.95,18637.25,18603.7,18606.4,0
2015-07-02 10:45:00,18609.85,18613.95,18590.4,18600.3,0
2015-07-02 11:00:00,18598.4,18620.2,18594.35,18614.9,0
2015-07-02 11:15:00,18615.95,18629.75,18608.2,18625.25,0
2015-07-02 11:30:00,18622.85,18636.85,18609.3,18610.7,0
2015-07-02 11:45:00,18610.7,18632.7,18604.85,18619.45,0
2015-07-02 12:00:00,18619.45,18627.4,18536.05,18585.7,0
2015-07-02 12:15:00,18585.7,18585.7,18546.45,18564.2,0
2015-07-02 12:30:00,18564.2,18610.95,18559.0,18606.2,0
2015-07-02 12:45:00,18606.2,18639.45,18595.5,18616.15,0
2015-07-02 13:00:00,18616.15,18626.9,18586.75,18598.25,0
2015-07-02 13:15:00,18598.25,18609.9,18587.8,18592.7,0
2015-07-02 13:30:00,18592.7,18623.05,18590.6,18612.05,0
2015-07-02 13:45:00,18612.05,18642.85,18609.4,18633.4,0
2015-07-02 14:00:00,18633.4,18640.75,18566.4,18592.45,0
2015-07-02 14:15:00,18592.45,18606.15,18530.0,18599.6,0
2015-07-02 14:30:00,18599.6,18599.6,18573.75,18575.75,0
2015-07-02 14:45:00,18575.75,18620.25,18574.95,18605.6,0
2015-07-02 15:00:00,18605.6,18615.85,18583.25,18585.75,0
2015-07-02 15:15:00,18585.75,18589.35,18560.85,18586.15,0
2015-07-03 09:15:00,18535.7,18657.45,18535.7,18635.2,0
2015-07-03 09:30:00,18634.45,18705.6,18634.45,18682.45,0
2015-07-03 09:45:00,18683.45,18698.4,18669.0,18677.45,0
2015-07-03 10:00:00,18679.75,18709.65,18665.4,18701.65,0
2015-07-03 10:15:00,18703.4,18708.95,18653.2,18655.9,0
2015-07-03 10:30:00,18655.4,18683.75,18655.4,18682.1,0
2015-07-03 10:45:00,18680.65,18683.75,18644.9,18654.75,0
2015-07-03 11:00:00,18653.75,18680.0,18651.5,18675.75,0
2015-07-03 11:15:00,18675.75,18688.9,18665.3,18688.9,0
2015-07-03 11:30:00,18688.9,18688.9,18665.6,18667.8,0
2015-07-03 11:45:00,18667.8,18677.8,18652.0,18654.15,0
2015-07-03 12:00:00,18654.15,18687.6,18634.75,18666.8,0
2015-07-03 12:15:00,18666.8,18677.05,18645.55,18649.2,0
2015-07-03 12:30:00,18649.2,18651.8,18594.95,18610.3,0
2015-07-03 12:45:00,18610.3,18647.85,18579.6,18647.15,0
2015-07-03 13:00:00,18647.15,18683.9,18637.55,18662.0,0
2015-07-03 13:15:00,18662.0,18673.0,18622.0,18635.35,0
2015-07-03 13:30:00,18635.35,18645.85,18619.3,18633.4,0
2015-07-03 13:45:00,18633.95,18664.9,18633.95,18655.95,0
2015-07-03 14:00:00,18652.75,18685.55,18649.3,18665.2,0
2015-07-03 14:15:00,18665.2,18679.95,18636.6,18650.15,0
2015-07-03 14:30:00,18650.15,18683.2,18649.95,18677.3,0
2015-07-03 14:45:00,18677.3,18732.1,18676.2,18691.85,0
2015-07-03 15:00:00,18692.2,18712.35,18691.55,18707.95,0
2015-07-03 15:15:00,18708.0,18756.65,18708.0,18746.7,0
2015-07-06 09:15:00,18488.35,18569.8,18421.85,18433.05,0
2015-07-06 09:30:00,18433.05,18510.3,18417.35,18473.6,0
2015-07-06 09:45:00,18473.6,18530.15,18473.6,18518.65,0
2015-07-06 10:00:00,18518.65,18545.0,18494.4,18497.9,0
2015-07-06 10:15:00,18497.9,18526.55,18491.95,18521.3,0
2015-07-06 10:30:00,18521.3,18533.4,18499.15,18526.75,0
2015-07-06 10:45:00,18526.75,18527.8,18498.1,18504.7,0
2015-07-06 11:00:00,18506.35,18513.25,18480.05,18508.65,0
2015-07-06 11:15:00,18508.65,18523.9,18499.55,18515.7,0
2015-07-06 11:30:00,18515.7,18518.1,18503.05,18516.0,0
2015-07-06 11:45:00,18513.6,18528.95,18508.8,18527.1,0
